 ALMAX  ALMAY S850  SourceS500 z  TargetID  HerschelX HerschelY S500 TargetFlag 
 0.5825362 -1.8988106  11.47  63.44 0.016677 10007   0.5822222 -1.8988889  62.81 1
 0.5842586 -1.8991208   3.34   8.47 2.600400 10007   0.5822222 -1.8988889  62.81 0
 1.6825988 -0.3792780  12.50  59.43 0.552706 10038   1.6822222 -0.3800000  63.54 1
 1.6832190 -0.3805884   2.07   4.80 3.688913 10038   1.6822222 -0.3800000  63.54 0
-1.0675478  0.4836068   9.22  56.01 0.077869 10064  -1.0677778  0.4844444  63.86 1
-1.8347059  0.2505853  12.27  55.74 0.449011 10054  -1.8355556  0.2511111  64.18 1
-1.6867945  1.0171444  12.71  57.77 0.505435 10078  -1.6866667  1.0177778  65.22 1
-0.3692519 -2.2330418   5.90  19.90 1.532233 10000  -0.3688889 -2.2333333  65.57 1
-0.3693268 -2.2325730   7.72  35.07 0.594486 10000  -0.3688889 -2.2333333  65.57 0
-0.3670156 -2.2329352   3.92  10.85 2.708579 10000  -0.3688889 -2.2333333  65.57 0
-1.3935622  0.7259753  13.28  59.50 0.638085 10069  -1.3944444  0.7255556  65.67 1
 1.6069987  0.3680604  11.68  58.94 0.302428 10059   1.6066667  0.3677778  65.95 1
 1.6072371  0.3680365   3.17   9.06 2.710052 10059   1.6066667  0.3677778  65.95 0
-0.5085176 -0.7179016   8.10  49.16 0.103727 10031  -0.5077778 -0.7188889  66.18 1
-0.5054243 -0.7182190   2.65   5.95 3.258537 10031  -0.5077778 -0.7188889  66.18 0
-0.3996069 -2.1709235  11.93  67.25 0.170382 10003  -0.4000000 -2.1711111  67.75 1
-2.3877838 -0.2739383   4.78  14.99 2.402787 10041  -2.3877778 -0.2722222  67.94 1
-2.3879218 -0.2732120  12.32  47.94 1.327888 10041  -2.3877778 -0.2722222  67.94 0
 1.1972311  1.7633684  13.96  68.94 0.432557 10096   1.1977778  1.7633333  68.51 1
 0.6356934 -1.1461170  11.33  67.13 0.078017 10025   0.6355556 -1.1466667  68.53 1
 1.3963772 -1.8728782  12.00  75.18 0.063040 10008   1.3966667 -1.8733333  70.62 1
 0.5837353 -0.4465450  14.22  60.07 0.930156 10037   0.5833333 -0.4466667  74.06 1
 0.5854892 -0.4473837   1.23   4.21 2.354228 10037   0.5833333 -0.4466667  74.06 0
-0.1125092 -2.2051845  17.71  77.81 0.877011 10002  -0.1122222 -2.2055556  75.21 1
 1.1979969  0.4608392  11.09  66.37 0.061402 10063   1.1977778  0.4611111  76.52 1
 1.1957885  0.4608456   1.21   4.74 1.152966 10063   1.1977778  0.4611111  76.52 0
 1.1963608  0.4596262   2.65   5.96 3.289805 10063   1.1977778  0.4611111  76.52 0
